Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1679860.0;3000.5151;1848.6525;3000.5727;1854.0812;3001.7647;1853.8779;2999.6049;1854.6532;3002.7093;1852.4374;3001.1128;1852.8501;2996.1419;1851.4456
1679880.0;3000.4444;1848.6259;3000.4674;1854.2529;3001.7615;1853.8378;2999.594;1854.7205;3002.7369;1852.4567;3001.0339;1852.9426;2996.0995;1851.4551
1679900.0;3000.3649;1848.6158;3000.3314;1854.4406;3001.7678;1853.7825;2999.6091;1854.8373;3002.7603;1852.473;3000.9579;1853.0271;2996.0901;1851.4232
1679920.0;3000.2793;1848.6261;3000.1747;1854.6381;3001.7841;1853.7145;2999.6538;1855.0105;3002.7629;1852.4889;3000.8844;1853.0919;2996.1126;1851.3619
1679940.0;3000.1931;1848.6538;3000.0123;1854.8344;3001.8104;1853.6402;2999.721;1855.2301;3002.73;1852.5158;3000.8165;1853.1204;2996.1596;1851.2878
1679960.0;3000.1117;1848.6921;2999.86;1855.0097;3001.8476;1853.5673;2999.7953;1855.4682;3002.6581;1852.5661;3000.7572;1853.0966;2996.2232;1851.2161
1679980.0;3000.0373;1848.7359;2999.7319;1855.1415;3001.8962;1853.5012;2999.862;1855.6887;3002.5582;1852.6428;3000.7041;1853.0154;2996.296;1851.1569
1680000.0;2999.969;1848.7821;2999.6356;1855.2179;3001.9543;1853.443;2999.9149;1855.8623;3002.4496;1852.7342;3000.6511;1852.8916;2996.3699;1851.1139
1680020.0;2999.9047;1848.8291;2999.568;1855.2455;3002.0178;1853.3927;2999.9536;1855.9773;3002.3498;1852.8211;3000.5963;1852.757;2996.4367;1851.0829
1680040.0;2999.8435;1848.8768;2999.5152;1855.2447;3002.0822;1853.3482;2999.9789;1856.0408;3002.2677;1852.889;3000.5454;1852.6464;2996.4921;1851.0551
