Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2026520.0;6492.6268;15767.32;6493.0784;15769.6092;6498.5014;15768.2059;6491.2519;15766.5026;6500.3034;15774.7471;6492.2986;15770.0725;6492.8862;15769.1818;6502.2921;15768.3309;6499.6532;15770.7595
2026540.0;6491.2219;15764.9437;6491.9646;15767.2133;6497.2136;15765.9473;6490.0482;15764.2137;6499.3836;15772.3633;6491.0821;15767.7344;6491.5261;15766.849;6500.9899;15765.9784;6498.3372;15768.515
2026560.0;6489.948;15762.5054;6490.9542;15764.7947;6495.9364;15763.6771;6488.8761;15761.9324;6498.4736;15769.9847;6489.973;15765.3809;6490.2686;15764.4865;6499.7469;15763.6251;6497.0134;15766.2756
2026580.0;6488.8267;15760.0139;6490.084;15762.3476;6494.6954;15761.3931;6487.7528;15759.652;6497.6049;15767.6071;6489.0019;15763.0092;6489.1437;15762.1008;6498.5797;15761.2642;6495.7152;15764.028
2026600.0;6487.8609;15757.489;6489.3725;15759.8761;6493.5085;15759.092;6486.7061;15757.3668;6496.8094;15765.2338;6488.1888;15760.622;6488.1697;15759.6991;6497.5111;15758.9008;6494.4702;15761.7631
2026620.0;6487.0432;15754.9529;6488.8179;15757.3898;6492.387;15756.7663;6485.7691;15755.0772;6496.1116;15762.8812;6487.5391;15758.2259;6487.3531;15757.2854;6496.5685;15756.5457;6493.2976;15759.4746
2026640.0;6486.3684;15752.4221;6488.4062;15754.899;6491.3432;15754.4076;6484.9703;15752.79;6495.5253;15760.5685;6487.0421;15755.829;6486.6925;15754.8602;6495.7731;15754.2022;6492.2119;15757.1542
2026660.0;6485.8365;15749.9038;6488.1211;15752.4109;6490.3934;15752.0128;6484.3279;15750.5131;6495.0559;15758.2987;6486.678;15753.4384;6486.1841;15752.4239;6495.1328;15751.8587;6491.2315;15754.7945
2026680.0;6485.4518;15747.4;6487.9503;15749.9294;6489.5575;15749.587;6483.8509;15748.2497;6494.7035;15756.0506;6486.4258;15751.0572;6485.8251;15749.98;6494.6414;15749.4971;6490.3839;15752.3954
2026700.0;6485.2179;15744.9129;6487.8863;15747.4558;6488.8553;15747.1406;6483.5424;15745.995;6494.4639;15753.7923;6486.2715;15748.6827;6485.6125;15747.5352;6494.2821;15747.1062;6489.7024;15749.9662
2026720.0;6485.1348;15742.4483;6487.9233;15744.9913;6488.3031;15744.6819;6483.3994;15743.7373;6494.3277;15751.5031;6486.2099;15746.3065;6485.5375;15745.0952;6494.0353;15744.6888;6489.2142;15747.5197
2026740.0;6485.1968;15740.0111;6488.0545;15742.538;6487.9088;15742.2145;6483.4103;15741.4625;6494.2856;15749.1787;6486.2426;15743.9183;6485.581;15742.6595;6493.8884;15742.2566;6488.9278;15745.0645
