Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_E(m);Y_E(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m)
2229820.0;3001.1973;1848.5594;2999.8882;1850.3755;2995.7645;1847.8349;2984.0569;1863.5088;3004.7052;1846.4489;2994.7479;1847.8326;3002.173;1842.941;3004.1795;1840.3615;2995.744;1839.6273;3012.0876;1877.6756
2229820.0;3001.1973;1848.5594;2999.8882;1850.3755;2995.7645;1847.8349;2984.0569;1863.5088;3004.7052;1846.4489;2994.7479;1847.8326;3002.173;1842.941;3004.1795;1840.3615;2995.744;1839.6273;3012.0876;1877.6756
2229840.0;3000.8022;1848.7108;3000.1062;1850.1527;2995.74;1847.9064;2983.872;1863.8504;3004.5933;1846.0845;2994.7479;1847.7611;3002.3136;1843.0415;3004.1807;1840.2828;2995.7607;1839.7861;3012.1633;1877.7842
2229840.0;3000.8022;1848.7108;3000.1062;1850.1527;2995.74;1847.9064;2983.872;1863.8504;3004.5933;1846.0845;2994.7479;1847.7611;3002.3136;1843.0415;3004.1807;1840.2828;2995.7607;1839.7861;3012.1633;1877.7842
2229860.0;3000.4181;1848.864;3000.3011;1849.9861;2995.7143;1848.0153;2983.6937;1864.1562;3004.4515;1845.76;2994.7514;1847.6701;3002.4201;1843.1373;3004.181;1840.2071;2995.7422;1839.9735;3012.2389;1877.8927
2229860.0;3000.4181;1848.864;3000.3011;1849.9861;2995.7143;1848.0153;2983.6937;1864.1562;3004.4515;1845.76;2994.7514;1847.6701;3002.4201;1843.1373;3004.181;1840.2071;2995.7422;1839.9735;3012.2389;1877.8927
2229880.0;3000.0448;1849.0261;3000.4633;1849.8719;2995.6881;1848.1573;2983.5146;1864.4306;3004.2989;1845.4714;2994.7675;1847.5482;3002.505;1843.2143;3004.181;1840.1352;2995.703;1840.1898;3012.3146;1878.0013
2229880.0;3000.0448;1849.0261;3000.4633;1849.8719;2995.6881;1848.1573;2983.5146;1864.4306;3004.2989;1845.4714;2994.7675;1847.5482;3002.505;1843.2143;3004.181;1840.1352;2995.703;1840.1898;3012.3146;1878.0013
2229900.0;2999.7041;1849.1915;3000.5876;1849.7955;2995.6657;1848.3233;2983.338;1864.685;3004.1543;1845.2567;2994.8018;1847.3916;3002.5729;1843.28;3004.181;1840.0725;2995.6616;1840.4277;3012.3903;1878.1099
2229900.0;2999.7041;1849.1915;3000.5876;1849.7955;2995.6657;1848.3233;2983.338;1864.685;3004.1543;1845.2567;2994.8018;1847.3916;3002.5729;1843.28;3004.181;1840.0725;2995.6616;1840.4277;3012.3903;1878.1099
